coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat Sep 18 10:36:17 +0000 2021,,,,0,1439176442789744644,,,,pl,,,,8,1439167277434347520,donald_PL_,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Przed chwilą przed Kancelarią Premiera, gdzie trwa Strajk Medyków, doszło do próby samobójczej. Pacjent, najprawdopodobniej onkologii, próbował się zabić, strzelając sobie w głowę. Obecni na miejscu medycy podjęli akcję ratunkową.
Poniżej oświadczenie komitetu protestacyjnego. https://t.co/HZ0UgjmF88",https://twitter.com/asegPL/status/1439176442789744644,Sat Jun 18 13:45:28 +0000 2011,319644456,false,"Leftie, tech geek, EDM freak, PR guy. He/him. Personal views here. 🏳️‍🌈",164599,3289,1675,170,"Warszawa, Polska",Dyrektor TT 🏳️‍🌈,asegPL,391205,,,false
,Sat Sep 18 11:43:51 +0000 2021,,,,0,1439193449387941895,,,,pl,,,,15,1438561339455295488,wcalenieolga,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",„medycy wybrali strajk mimo ROSNĄCEJ LICZBY ZAKAŻEŃ I CO RAZ SILNIEJSZEJ POZYCJK ANTYSZCZEPONKOWCÓW zamiast zostać przy pacjentów którzy powinni być dla nich najważniejsi”,https://twitter.com/dyedlids/status/1439193449387941895,Wed Feb 20 13:48:56 +0000 2019,1098217945958887429,false,"equality♀️
left-wing politics",6526,15,100,0,,dyedlids⚡,dyedlids,531,,,false
,Sat Sep 18 11:32:57 +0000 2021,,,,6,1439190705285603333,acosta_re_nata,1439181313513345028,942255950,pl,,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@acosta_re_nata Co w przypadku gdy gość zrobił to z desperacji bo nie dostał się do lekarza, który ma czas na strajk, a nie ma czasu na leczenie ... wszyscy wiemy, że nawet jeśli zapłacimy lekarzom po 100tys miesięcznie to nie będą więcej pracować, kolejki się nie skrócą.",https://twitter.com/Tomasz_Ze/status/1439190705285603333,Sun Oct 21 12:37:02 +0000 2018,1053988528663736321,false,Krakus o pasiastym sercu. Serce mam po prawej stronie. #KofC #RycerzeKolumba,46389,1020,1787,2,"Kraków, Polska",Tomasz Ż.🇵🇱✝️ #BabiesLivesMatter,Tomasz_Ze,12039,,,false
,Sat Sep 18 09:06:38 +0000 2021,,,https://niepoprawni.pl/niepoprawni2/blog/kapitan-nemo/medyka-za-75-zlgodz-wynajme-na-strajk,0,1439153882177888259,,,,pl,,false,,53,1439119197947236352,JacekJustyn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MEDYKA ZA 75 ZŁ/GODZ WYNAJMĘ NA STRAJK!
https://t.co/m3r29Jma17",https://twitter.com/Bodziahna/status/1439153882177888259,Sat Apr 18 12:57:15 +0000 2020,1251494902233534464,true,,33224,238,725,0,,Bogumiła,Bodziahna,11340,,,false
,Sat Sep 18 10:38:24 +0000 2021,,,,2,1439176975856328706,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Liderzy PO chodzili na strajk kobiet, a Tusk teraz mówi, że jest katolikiem?! Jeszcze nie dawno, bili się z lewicą o wyborców! A w Płońsku jest burmistrz, który jest zamieszany w aferę szczepionkową!",https://twitter.com/_myszkowski/status/1439176975856328706,Mon Dec 30 00:27:32 +0000 2019,1211443618394718211,false,Wchodzę z młotkiem na rozmowę jak pracownik w Obi.,13998,1138,293,0,,Myszkowski,_myszkowski,16036,,,false
,Sat Sep 18 12:58:38 +0000 2021,,,,0,1439212266855993346,,,,pl,,,,9,1439210795611705345,Arek2013OK,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Wrocław dziś. 18.00, Pręgierz. Startuje marsz protestacyjny wobec brutalności policji. Niech przybywa, kto żyw! Policja uzyskuje kolejną szansę, żeby sens takich marszów umocnić. Co zrobi? Przypominam, że startuje właśnie strajk tej formacji, generalnie chcą kasy, choć nie tylko.",https://twitter.com/agraffka2/status/1439212266855993346,Sun Jun 17 19:23:41 +0000 2012,611055854,false,"KURA DOMOWA,  Nie tylko o polityce, anty PiS , jestem odpowiedzialna za to co napisałam, a nie za to co zrozumieliście. Rodzic OzN.",133731,3666,1815,11,Warmia i Mazury,Magda ***** ***,agraffka2,223622,,,false
,Sat Sep 18 10:32:51 +0000 2021,,,,0,1439175580713426949,,,,pl,,,,8,1439167277434347520,donald_PL_,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Przed chwilą przed Kancelarią Premiera, gdzie trwa Strajk Medyków, doszło do próby samobójczej. Pacjent, najprawdopodobniej onkologii, próbował się zabić, strzelając sobie w głowę. Obecni na miejscu medycy podjęli akcję ratunkową.
Poniżej oświadczenie komitetu protestacyjnego. https://t.co/HZ0UgjmF88",https://twitter.com/10mona17/status/1439175580713426949,Mon Sep 15 09:48:08 +0000 2014,2811053749,false,"Posiadająca zero merytorycznej wiedzy, rozwrzeszczana hotka, dogorywającego Juantoreny💜 
Cucine Lube Civitanova🇮🇹🏐",105203,2387,1477,37,Poland,Miśka 19:28,10mona17,168931,,https://www.instagram.com/10mona17/,false
,Sat Sep 18 09:51:42 +0000 2021,,,,0,1439165223924027398,spanish77029129,1439164239520874497,992390664762609700,pl,,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@spanish77029129 Nie bardzo rozumiem, wolałabyś żebym rzucała w strajk kobiet racami?",https://twitter.com/marikwiatkowska/status/1439165223924027398,Mon Oct 26 13:53:06 +0000 2020,1320725100317069312,false,"Kontrowersyjne zdanie na każdy temat. Mama, warszawianka, antropolożka, feministka. Prolife & LGBT. Gospodarczo na lewo od centrum.",6050,251,1844,1,,Mania Kwiatkowska 🇵🇱 🇪🇺,marikwiatkowska,3213,,,false
,Sat Sep 18 09:28:25 +0000 2021,,,,0,1439159365332873221,AlicjaDef,1439156533300957185,62493771,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AlicjaDef @GrabarczykBeata @RadioNowySwiat @gotowalska @Opolska Ciekawe czy @DWielowieyska popiera strajk medyków.,https://twitter.com/okedar2/status/1439159365332873221,Wed Mar 31 07:58:41 +0000 2021,1377168305102839812,false,,5252,50,752,0,,okedar,okedar2,15734,,,false
,Sat Sep 18 08:45:46 +0000 2021,,,https://niepoprawni.pl/niepoprawni2/blog/kapitan-nemo/medyka-za-75-zlgodz-wynajme-na-strajk,0,1439148632670982145,,,,pl,,false,,53,1439119197947236352,JacekJustyn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MEDYKA ZA 75 ZŁ/GODZ WYNAJMĘ NA STRAJK!
https://t.co/m3r29Jma17",https://twitter.com/KominiarzEU/status/1439148632670982145,Mon Nov 03 21:20:14 +0000 2014,2888946644,false,Prof. Legutko: antykaczyzm jest najbardziej odmóżdżającą postawą polityczną ostatnich dwóch dekad w Polsce.,221597,6893,6507,13,Polska,KominiarzEuropejski,KominiarzEU,122704,,,false
,Sat Sep 18 10:42:28 +0000 2021,,,https://niepoprawni.pl/niepoprawni2/blog/kapitan-nemo/medyka-za-75-zlgodz-wynajme-na-strajk,0,1439177999283261444,,,,pl,,false,,53,1439119197947236352,JacekJustyn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MEDYKA ZA 75 ZŁ/GODZ WYNAJMĘ NA STRAJK!
https://t.co/m3r29Jma17",https://twitter.com/Andrzej19482/status/1439177999283261444,Sun May 19 20:36:36 +0000 2019,1130210670715310080,false,,63369,2239,2216,1,,Andrzej1948,Andrzej19482,14262,,,false
,Sat Sep 18 12:58:04 +0000 2021,,https://twitter.com/Hugo210012/status/1439212125558382595/photo/1,,5,1439212125558382595,Maximus13305555,1439136936384471041,1273634463885529000,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Maximus13305555 Hahaha 😂
Paradoks sytuacji polega na tym, że przy dzietności 🇵🇱 1.39 (a zastępowalność to 2.1) przy najwyższej umieralności i najniższej liczbie lekarzy na kontynecie strzelasz fochy,że strajk brzydki? 🤡
Widzę, że róbcie wszystko aby dosłownie wykończyć naród Polski na amen. https://t.co/OjVe0M3XXd",https://twitter.com/Hugo210012/status/1439212125558382595,Sat Aug 08 09:54:53 +0000 2020,1292036504131379202,false,"Montfermeil, Varsovie 🇵🇱🇪🇺",17948,173,218,0,"Warszawa, Polska",Hugocopter,Hugo210012,5461,,,false
,Sat Sep 18 13:13:32 +0000 2021,,https://twitter.com/ronfox102/status/1439208978320330755/photo/1,,0,1439216015242665990,,,,pl,,false,,1,1439208978320330755,ronfox102,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Panowie medycy czy to prawda ,strajk strajkiem 😏 https://t.co/TyR6tr08AE",https://twitter.com/Lendzian_/status/1439216015242665990,Sun Jan 22 20:15:49 +0000 2012,471390417,false,"Zawsze była i będzie prawa strona. Żadna Konfa, lewactwo nie ma wstępu na moje konto.  #BógHonorOjczyzna #Polska #Śląsk #MuremZaPolskimMundurem #PiS",877,830,1110,0,Polska Śląsk ,Lendzian - imię moje to Polska. #Polska ***** **,Lendzian_,2242,,,false
,Sat Sep 18 13:01:15 +0000 2021,,,,0,1439212925777027072,,,,pl,,,,9,1439210795611705345,Arek2013OK,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wrocław dziś. 18.00, Pręgierz. Startuje marsz protestacyjny wobec brutalności policji. Niech przybywa, kto żyw! Policja uzyskuje kolejną szansę, żeby sens takich marszów umocnić. Co zrobi? Przypominam, że startuje właśnie strajk tej formacji, generalnie chcą kasy, choć nie tylko.",https://twitter.com/Katarzynak23/status/1439212925777027072,Sat Oct 17 10:11:16 +0000 2015,3978782962,false,"As far as possible, without surrender, be on good terms with all persons. Speak your truth quietly and clearly",40641,653,689,4,,Katarzynak #SilniRazem,Katarzynak23,34063,,,false
,Sat Sep 18 12:09:04 +0000 2021,,,https://twitter.com/radkul86/status/1438948228297371661,0,1439199795596386305,,,,pl,,false,1438948228297371661,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Uczestniczy na wiecach  też 🤷👇 strajk kobiet itd https://t.co/FJrDP4FFWx,https://twitter.com/Ewa75023657/status/1439199795596386305,Wed Sep 02 22:33:57 +0000 2020,1301287191776292864,false,bez Boga ani do proga,3293,1304,2100,1,,Ewa,Ewa75023657,92409,,,false
